|product_id|count|
|----------|-----|
|74        |1    |
|29        |2    |
|71        |4    |
|34        |2    |
|51        |2    |
|52        |3    |
|43        |1    |
|67        |1    |
|83        |2    |
|32        |1    |
|63        |2    |
|10        |2    |
|7         |2    |
|35        |3    |
|45        |2    |
|38        |1    |
|15        |3    |
|6         |1    |
|79        |3    |
|26        |2    |
|84        |2    |
|12        |3    |
|72        |1    |
|78        |4    |
|24        |1    |
|61        |1    |
|19        |5    |
|69        |1    |
|36        |1    |
|31        |2    |
|21        |4    |
|47        |2    |
|14        |3    |
|66        |3    |
|17        |2    |
|20        |2    |
|22        |1    |
|28        |4    |
|1         |2    |
|76        |1    |
|65        |3    |
|18        |3    |
|64        |1    |
|16        |3    |
|55        |2    |
|75        |1    |
|27        |2    |
|23        |2    |
|11        |2    |
