|department_id|job_id  |rating_e|count|
|-------------|--------|--------|-----|
|30           |PU_CLERK|3       |4    |
|30           |PU_CLERK|        |4    |
|30           |        |        |4    |
|50           |PU_CLERK|4       |1    |
|50           |PU_CLERK|        |1    |
|50           |SH_CLERK|3       |1    |
|50           |SH_CLERK|4       |6    |
|50           |SH_CLERK|5       |5    |
|50           |SH_CLERK|        |12   |
|50           |ST_CLERK|3       |6    |
|50           |ST_CLERK|4       |2    |
|50           |ST_CLERK|5       |4    |
|50           |ST_CLERK|        |12   |
|50           |ST_MAN  |4       |1    |
|50           |ST_MAN  |        |1    |
|50           |        |        |26   |
|             |        |        |30   |
